sampling_area,month,region,habitat,season,sex,class,species,unique_id
Area_04,decembre,plains,sky,Autumn,M,N-7,Rhamdia_quelen,F0671
Area_05,janvier,pothole,estuary,Autumn,M,L-5,Hoplias_malabaricus,F0672
Area_07,novembre,plains,marine,Summer,F,L-5,Cichla_ocellaris,F0673
Area_03,octobre,montain,fast-stream,Winter,M,J-3,Pimelodus_maculatus,F0674
Area_02,septembre,valley,sky,Autumn,M,K-4,Hoplias_malabaricus,F0675
Area_08,juillet,plains,estuary,Spring,M,H-1,Cichla_ocellaris,F0676
Area_04,mai,montain,lake,Winter,F,H-1,Cichla_ocellaris,F0677
Area_06,decembre,montain,marine,Winter,M,L-5,Hoplias_malabaricus,F0678
Area_05,juillet,valley,sky,Summer,F,M-6,Pimelodus_maculatus,F0679
Area_02,mai,pothole,lake,Autumn,M,H-1,Hoplias_malabaricus,F0680
Area_07,fevrier,plains,marine,Spring,F,N-7,Cichla_ocellaris,F0681
Area_03,aout,plains,marine,Summer,F,M-6,Prochilodus_lineatus,F0682
Area_03,juillet,montain,slow-stream,Autumn,M,N-7,Geophagus_brasiliensis,F0683
Area_06,octobre,montain,fast-stream,Summer,M,I-2,Rhamdia_quelen,F0684
Area_01,aout,valley,lake,Summer,F,J-3,Geophagus_brasiliensis,F0685
Area_06,septembre,valley,river,Spring,F,H-1,Rhamdia_quelen,F0686
Area_08,mars,montain,slow-stream,Winter,F,L-5,Pimelodus_maculatus,F0687
Area_03,juin,plains,marine,Summer,M,I-2,Hoplias_malabaricus,F0688
Area_02,juillet,pothole,lake,Spring,F,K-4,Astyanax_fasciatus,F0689
Area_03,novembre,pothole,lake,Summer,F,K-4,Prochilodus_lineatus,F0690
Area_08,novembre,montain,sky,Spring,M,M-6,Prochilodus_lineatus,F0691
Area_03,mars,pothole,marine,Winter,M,N-7,Hoplias_malabaricus,F0692
Area_01,aout,plains,estuary,Spring,F,H-1,Astyanax_fasciatus,F0693
Area_06,decembre,pothole,marine,Summer,F,M-6,Prochilodus_lineatus,F0694
Area_02,novembre,montain,slow-stream,Summer,M,J-3,Cichla_ocellaris,F0695
Area_02,novembre,valley,estuary,Autumn,F,M-6,Rhamdia_quelen,F0696
Area_08,janvier,valley,fast-stream,Autumn,F,L-5,Prochilodus_lineatus,F0697
Area_08,septembre,pothole,lake,Spring,M,K-4,Geophagus_brasiliensis,F0698
Area_02,decembre,pothole,marine,Summer,M,H-1,Prochilodus_lineatus,F0699
Area_04,decembre,plains,slow-stream,Spring,M,N-7,Leporinus_friderici,F0700
Area_06,juin,plains,lake,Winter,F,L-5,Astyanax_fasciatus,F0701
Area_01,decembre,valley,marine,Winter,F,H-1,Astyanax_fasciatus,F0702
Area_05,septembre,montain,marine,Summer,F,M-6,Geophagus_brasiliensis,F0703
Area_07,mars,plains,lake,Summer,F,K-4,Prochilodus_lineatus,F0704
Area_08,mars,plains,fast-stream,Winter,F,N-7,Rhamdia_quelen,F0705
Area_05,juin,plains,marine,Summer,F,L-5,Astyanax_fasciatus,F0706
Area_03,septembre,montain,river,Winter,F,L-5,Prochilodus_lineatus,F0707
Area_07,novembre,plains,slow-stream,Spring,F,J-3,Prochilodus_lineatus,F0708
Area_06,septembre,montain,fast-stream,Autumn,F,L-5,Pimelodus_maculatus,F0709
Area_08,mars,valley,estuary,Winter,M,H-1,Rhamdia_quelen,F0710
Area_03,decembre,valley,marine,Spring,F,J-3,Astyanax_fasciatus,F0711
Area_06,mai,pothole,marine,Spring,M,L-5,Pimelodus_maculatus,F0712
Area_05,juillet,valley,estuary,Autumn,F,J-3,Rhamdia_quelen,F0713
Area_08,fevrier,plains,fast-stream,Summer,F,L-5,Leporinus_friderici,F0714
Area_01,juin,plains,slow-stream,Summer,M,N-7,Prochilodus_lineatus,F0715
Area_04,aout,pothole,estuary,Spring,F,M-6,Astyanax_fasciatus,F0716
Area_08,mai,valley,fast-stream,Winter,M,J-3,Hoplias_malabaricus,F0717
Area_02,decembre,valley,marine,Spring,M,H-1,Rhamdia_quelen,F0718
Area_05,mars,pothole,slow-stream,Winter,F,K-4,Astyanax_fasciatus,F0719
Area_07,decembre,pothole,marine,Winter,M,H-1,Cichla_ocellaris,F0720
Area_06,octobre,pothole,river,Winter,F,L-5,Rhamdia_quelen,F0721
Area_08,mai,montain,slow-stream,Winter,M,N-7,Astyanax_fasciatus,F0722
Area_08,avril,plains,slow-stream,Spring,M,K-4,Astyanax_fasciatus,F0723
Area_04,avril,pothole,fast-stream,Spring,M,N-7,Pimelodus_maculatus,F0724
Area_06,decembre,pothole,lake,Spring,M,H-1,Astyanax_fasciatus,F0725
Area_07,juillet,plains,slow-stream,Summer,M,M-6,Hoplias_malabaricus,F0726
Area_05,novembre,valley,sky,Summer,F,J-3,Hoplias_malabaricus,F0727
Area_08,janvier,plains,fast-stream,Winter,F,J-3,Rhamdia_quelen,F0728
Area_01,decembre,montain,river,Winter,F,J-3,Leporinus_friderici,F0729
Area_02,fevrier,valley,river,Summer,M,L-5,Pimelodus_maculatus,F0730
Area_03,mai,plains,river,Summer,F,K-4,Pimelodus_maculatus,F0731
Area_01,mars,pothole,slow-stream,Spring,M,N-7,Geophagus_brasiliensis,F0732
Area_01,juillet,pothole,lake,Winter,M,I-2,Geophagus_brasiliensis,F0733
Area_03,aout,montain,slow-stream,Spring,F,I-2,Geophagus_brasiliensis,F0734
Area_07,mai,montain,marine,Winter,F,K-4,Astyanax_fasciatus,F0735
Area_02,juillet,plains,marine,Winter,M,N-7,Cichla_ocellaris,F0736
Area_04,decembre,plains,lake,Summer,M,K-4,Astyanax_fasciatus,F0737
Area_05,novembre,montain,lake,Winter,M,M-6,Leporinus_friderici,F0738
Area_08,mars,montain,sky,Autumn,M,N-7,Cichla_ocellaris,F0739
Area_07,juin,valley,lake,Autumn,F,K-4,Cichla_ocellaris,F0740
Area_07,aout,valley,estuary,Autumn,M,M-6,Rhamdia_quelen,F0741
Area_03,octobre,montain,river,Winter,F,M-6,Rhamdia_quelen,F0742
Area_04,decembre,plains,slow-stream,Winter,F,M-6,Prochilodus_lineatus,F0743
Area_05,juin,valley,marine,Autumn,F,J-3,Astyanax_fasciatus,F0744
Area_03,octobre,plains,fast-stream,Spring,F,K-4,Geophagus_brasiliensis,F0745
Area_07,aout,valley,sky,Spring,M,I-2,Cichla_ocellaris,F0746
Area_01,octobre,montain,slow-stream,Spring,M,K-4,Geophagus_brasiliensis,F0747
Area_06,juin,pothole,lake,Winter,F,I-2,Leporinus_friderici,F0748
Area_05,novembre,plains,fast-stream,Summer,F,I-2,Astyanax_fasciatus,F0749
Area_02,mars,valley,estuary,Spring,M,K-4,Rhamdia_quelen,F0750
Area_04,juillet,valley,river,Spring,F,K-4,Pimelodus_maculatus,F0751
Area_02,janvier,pothole,sky,Summer,M,K-4,Hoplias_malabaricus,F0752
Area_01,juin,plains,lake,Autumn,F,N-7,Leporinus_friderici,F0753
Area_07,mai,valley,estuary,Winter,F,N-7,Astyanax_fasciatus,F0754
Area_05,fevrier,plains,estuary,Spring,F,N-7,Hoplias_malabaricus,F0755
Area_06,juillet,valley,river,Spring,M,H-1,Leporinus_friderici,F0756
Area_02,mars,plains,sky,Winter,M,N-7,Astyanax_fasciatus,F0757
Area_05,mars,pothole,slow-stream,Summer,F,M-6,Pimelodus_maculatus,F0758
Area_06,avril,pothole,fast-stream,Winter,M,H-1,Hoplias_malabaricus,F0759
Area_01,janvier,montain,sky,Summer,F,H-1,Hoplias_malabaricus,F0760
Area_08,juin,montain,marine,Summer,F,H-1,Pimelodus_maculatus,F0761
Area_01,mai,valley,sky,Spring,F,J-3,Pimelodus_maculatus,F0762
Area_08,fevrier,valley,estuary,Winter,M,I-2,Hoplias_malabaricus,F0763
Area_06,juillet,pothole,marine,Winter,M,M-6,Hoplias_malabaricus,F0764
Area_02,octobre,plains,marine,Summer,F,I-2,Leporinus_friderici,F0765
Area_08,janvier,plains,lake,Summer,F,L-5,Pimelodus_maculatus,F0766
Area_06,mai,plains,lake,Summer,M,H-1,Rhamdia_quelen,F0767
Area_04,mai,pothole,estuary,Summer,M,J-3,Pimelodus_maculatus,F0768
Area_02,novembre,plains,marine,Winter,F,K-4,Prochilodus_lineatus,F0769
Area_08,aout,plains,fast-stream,Spring,F,L-5,Cichla_ocellaris,F0770
Area_07,mars,montain,lake,Summer,F,K-4,Pimelodus_maculatus,F0771
Area_01,janvier,pothole,river,Winter,M,H-1,Astyanax_fasciatus,F0772
Area_08,avril,montain,fast-stream,Spring,M,K-4,Leporinus_friderici,F0773
Area_01,aout,valley,fast-stream,Winter,F,H-1,Hoplias_malabaricus,F0774
Area_01,fevrier,pothole,slow-stream,Winter,M,K-4,Hoplias_malabaricus,F0775
Area_04,avril,valley,fast-stream,Summer,M,K-4,Astyanax_fasciatus,F0776
Area_01,aout,plains,sky,Summer,M,L-5,Hoplias_malabaricus,F0777
Area_03,decembre,plains,slow-stream,Winter,M,I-2,Leporinus_friderici,F0778
Area_08,aout,pothole,marine,Winter,M,I-2,Hoplias_malabaricus,F0779
Area_02,mai,valley,slow-stream,Summer,F,K-4,Leporinus_friderici,F0780
Area_01,juin,montain,slow-stream,Summer,F,K-4,Rhamdia_quelen,F0781
Area_01,juillet,valley,marine,Summer,M,M-6,Astyanax_fasciatus,F0782
Area_07,septembre,plains,lake,Summer,F,N-7,Pimelodus_maculatus,F0783
Area_07,juillet,pothole,river,Winter,M,N-7,Cichla_ocellaris,F0784
Area_05,avril,pothole,slow-stream,Summer,M,N-7,Rhamdia_quelen,F0785
Area_05,fevrier,montain,estuary,Summer,M,H-1,Prochilodus_lineatus,F0786
Area_04,decembre,valley,sky,Summer,M,J-3,Leporinus_friderici,F0787
Area_06,decembre,plains,slow-stream,Spring,M,J-3,Cichla_ocellaris,F0788
Area_04,novembre,plains,lake,Winter,M,I-2,Astyanax_fasciatus,F0789
Area_08,aout,valley,sky,Spring,M,J-3,Rhamdia_quelen,F0790
Area_07,novembre,pothole,marine,Autumn,M,K-4,Pimelodus_maculatus,F0791
Area_04,aout,montain,slow-stream,Winter,F,J-3,Cichla_ocellaris,F0792
Area_05,janvier,valley,lake,Autumn,F,L-5,Geophagus_brasiliensis,F0793
Area_04,juillet,montain,river,Autumn,F,H-1,Astyanax_fasciatus,F0794
Area_01,fevrier,plains,estuary,Summer,M,K-4,Astyanax_fasciatus,F0795
Area_03,octobre,montain,marine,Autumn,M,I-2,Cichla_ocellaris,F0796
Area_05,juin,montain,estuary,Spring,F,M-6,Cichla_ocellaris,F0797
Area_04,avril,pothole,river,Autumn,F,M-6,Astyanax_fasciatus,F0798
Area_02,juin,pothole,marine,Spring,F,K-4,Rhamdia_quelen,F0799
Area_06,octobre,montain,estuary,Summer,M,L-5,Pimelodus_maculatus,F0800
Area_07,mars,pothole,fast-stream,Spring,M,K-4,Astyanax_fasciatus,F0801
Area_01,decembre,pothole,marine,Winter,M,N-7,Cichla_ocellaris,F0802
Area_04,juin,montain,estuary,Summer,F,I-2,Pimelodus_maculatus,F0803
Area_08,novembre,montain,river,Autumn,M,L-5,Hoplias_malabaricus,F0804
Area_07,septembre,plains,slow-stream,Spring,F,L-5,Leporinus_friderici,F0805
Area_01,decembre,pothole,slow-stream,Spring,M,H-1,Astyanax_fasciatus,F0806
Area_07,decembre,pothole,marine,Autumn,M,J-3,Geophagus_brasiliensis,F0807
Area_03,aout,pothole,lake,Summer,F,N-7,Geophagus_brasiliensis,F0808
Area_01,septembre,valley,fast-stream,Summer,F,K-4,Rhamdia_quelen,F0809
Area_03,juillet,plains,slow-stream,Summer,F,H-1,Pimelodus_maculatus,F0810
Area_07,mars,plains,marine,Summer,M,M-6,Cichla_ocellaris,F0811
Area_03,aout,pothole,marine,Winter,F,N-7,Leporinus_friderici,F0812
Area_07,octobre,pothole,river,Winter,M,H-1,Leporinus_friderici,F0813
Area_07,fevrier,plains,sky,Summer,F,K-4,Astyanax_fasciatus,F0814
Area_02,aout,montain,river,Autumn,F,K-4,Leporinus_friderici,F0815
Area_03,aout,montain,estuary,Spring,F,K-4,Astyanax_fasciatus,F0816
Area_06,aout,pothole,lake,Spring,M,K-4,Rhamdia_quelen,F0817
Area_07,decembre,valley,fast-stream,Winter,F,N-7,Cichla_ocellaris,F0818
Area_04,decembre,plains,slow-stream,Spring,F,L-5,Rhamdia_quelen,F0819
Area_02,fevrier,pothole,river,Summer,F,J-3,Cichla_ocellaris,F0820
Area_01,janvier,valley,marine,Autumn,M,I-2,Prochilodus_lineatus,F0821
Area_08,septembre,valley,slow-stream,Summer,F,M-6,Rhamdia_quelen,F0822
Area_08,mai,plains,fast-stream,Spring,F,N-7,Prochilodus_lineatus,F0823
Area_05,juillet,montain,slow-stream,Spring,F,L-5,Cichla_ocellaris,F0824
Area_03,mars,montain,fast-stream,Summer,M,I-2,Astyanax_fasciatus,F0825
Area_04,juin,plains,fast-stream,Spring,M,L-5,Hoplias_malabaricus,F0826
Area_08,aout,plains,river,Autumn,M,I-2,Leporinus_friderici,F0827
Area_05,septembre,valley,slow-stream,Winter,M,H-1,Leporinus_friderici,F0828
Area_06,mars,montain,sky,Summer,M,M-6,Hoplias_malabaricus,F0829
Area_05,novembre,plains,marine,Autumn,M,N-7,Prochilodus_lineatus,F0830
Area_06,novembre,montain,fast-stream,Summer,M,L-5,Geophagus_brasiliensis,F0831
Area_04,decembre,pothole,sky,Autumn,M,K-4,Astyanax_fasciatus,F0832
Area_06,janvier,pothole,lake,Autumn,M,I-2,Hoplias_malabaricus,F0833
Area_01,aout,plains,estuary,Summer,F,M-6,Rhamdia_quelen,F0834
Area_01,juillet,valley,lake,Summer,M,H-1,Astyanax_fasciatus,F0835
Area_04,mai,pothole,lake,Autumn,F,I-2,Astyanax_fasciatus,F0836
Area_06,mars,montain,fast-stream,Spring,M,M-6,Cichla_ocellaris,F0837
Area_08,juillet,valley,lake,Winter,F,H-1,Astyanax_fasciatus,F0838
Area_03,avril,pothole,sky,Summer,F,J-3,Prochilodus_lineatus,F0839
Area_05,septembre,plains,slow-stream,Summer,F,J-3,Hoplias_malabaricus,F0840
Area_02,mai,pothole,slow-stream,Winter,M,L-5,Pimelodus_maculatus,F0841
Area_01,decembre,plains,sky,Winter,F,J-3,Hoplias_malabaricus,F0842
Area_04,septembre,pothole,marine,Spring,M,N-7,Rhamdia_quelen,F0843
Area_04,juillet,pothole,estuary,Summer,F,M-6,Rhamdia_quelen,F0844
Area_06,decembre,pothole,river,Summer,M,M-6,Astyanax_fasciatus,F0845
Area_04,septembre,pothole,lake,Winter,F,H-1,Prochilodus_lineatus,F0846
Area_03,septembre,pothole,river,Autumn,F,M-6,Astyanax_fasciatus,F0847
Area_02,juillet,valley,marine,Winter,M,H-1,Rhamdia_quelen,F0848
Area_02,avril,montain,marine,Autumn,F,I-2,Cichla_ocellaris,F0849
Area_03,mars,pothole,river,Winter,M,N-7,Leporinus_friderici,F0850
Area_05,septembre,plains,marine,Summer,M,J-3,Pimelodus_maculatus,F0851
Area_06,fevrier,montain,lake,Summer,F,H-1,Geophagus_brasiliensis,F0852
Area_04,aout,plains,marine,Spring,M,H-1,Prochilodus_lineatus,F0853
Area_03,janvier,pothole,fast-stream,Summer,F,H-1,Astyanax_fasciatus,F0854
Area_03,decembre,plains,river,Autumn,M,H-1,Geophagus_brasiliensis,F0855
Area_01,octobre,valley,estuary,Autumn,F,L-5,Astyanax_fasciatus,F0856
Area_07,juillet,plains,estuary,Summer,F,L-5,Geophagus_brasiliensis,F0857
Area_05,fevrier,valley,lake,Spring,M,H-1,Pimelodus_maculatus,F0858
Area_05,octobre,pothole,slow-stream,Autumn,M,M-6,Cichla_ocellaris,F0859
Area_07,mars,valley,fast-stream,Autumn,M,H-1,Hoplias_malabaricus,F0860
Area_01,fevrier,pothole,fast-stream,Summer,M,L-5,Hoplias_malabaricus,F0861
Area_01,mai,plains,fast-stream,Spring,F,K-4,Prochilodus_lineatus,F0862
Area_07,aout,valley,river,Spring,M,M-6,Leporinus_friderici,F0863
Area_08,janvier,pothole,estuary,Spring,F,J-3,Astyanax_fasciatus,F0864
Area_01,janvier,montain,fast-stream,Winter,M,M-6,Cichla_ocellaris,F0865
Area_05,aout,montain,river,Winter,M,L-5,Leporinus_friderici,F0866
Area_05,fevrier,pothole,estuary,Spring,F,K-4,Leporinus_friderici,F0867
Area_08,aout,plains,marine,Winter,F,L-5,Leporinus_friderici,F0868
Area_08,mars,plains,marine,Summer,F,N-7,Cichla_ocellaris,F0869
Area_04,avril,pothole,lake,Spring,F,I-2,Rhamdia_quelen,F0870
Area_02,juillet,valley,sky,Summer,M,N-7,Hoplias_malabaricus,F0871
Area_06,fevrier,valley,lake,Winter,M,N-7,Hoplias_malabaricus,F0872
Area_02,decembre,valley,slow-stream,Summer,M,L-5,Leporinus_friderici,F0873
Area_04,avril,plains,marine,Summer,M,N-7,Hoplias_malabaricus,F0874
Area_02,janvier,pothole,slow-stream,Spring,M,J-3,Astyanax_fasciatus,F0875
Area_07,mars,plains,sky,Autumn,F,I-2,Prochilodus_lineatus,F0876
Area_07,juillet,montain,lake,Winter,M,K-4,Pimelodus_maculatus,F0877
Area_06,aout,plains,fast-stream,Autumn,M,M-6,Leporinus_friderici,F0878
Area_08,mars,plains,fast-stream,Spring,M,I-2,Prochilodus_lineatus,F0879
Area_01,juillet,montain,river,Autumn,F,N-7,Astyanax_fasciatus,F0880
Area_08,decembre,plains,marine,Spring,F,N-7,Prochilodus_lineatus,F0881
Area_03,fevrier,plains,slow-stream,Autumn,M,K-4,Cichla_ocellaris,F0882
Area_05,fevrier,pothole,river,Autumn,F,J-3,Hoplias_malabaricus,F0883
Area_03,septembre,valley,estuary,Autumn,M,K-4,Leporinus_friderici,F0884
Area_07,octobre,montain,marine,Spring,M,J-3,Prochilodus_lineatus,F0885
Area_07,juillet,montain,slow-stream,Autumn,M,K-4,Hoplias_malabaricus,F0886
Area_01,janvier,montain,fast-stream,Winter,M,K-4,Leporinus_friderici,F0887
Area_08,novembre,pothole,sky,Spring,M,J-3,Astyanax_fasciatus,F0888
Area_02,fevrier,plains,sky,Spring,M,H-1,Leporinus_friderici,F0889
Area_07,novembre,valley,slow-stream,Summer,F,J-3,Cichla_ocellaris,F0890
Area_07,septembre,pothole,marine,Spring,F,J-3,Rhamdia_quelen,F0891
Area_04,septembre,plains,fast-stream,Summer,M,M-6,Rhamdia_quelen,F0892
Area_04,janvier,plains,river,Autumn,F,H-1,Geophagus_brasiliensis,F0893
Area_01,juin,plains,lake,Autumn,F,N-7,Hoplias_malabaricus,F0894
Area_05,juin,montain,sky,Summer,M,J-3,Prochilodus_lineatus,F0895
Area_01,septembre,pothole,marine,Spring,M,L-5,Astyanax_fasciatus,F0896
Area_04,juillet,plains,fast-stream,Autumn,F,H-1,Geophagus_brasiliensis,F0897
Area_03,septembre,pothole,lake,Autumn,F,I-2,Hoplias_malabaricus,F0898
Area_07,decembre,pothole,marine,Spring,F,I-2,Astyanax_fasciatus,F0899
Area_04,mars,pothole,sky,Summer,F,K-4,Prochilodus_lineatus,F0900
Area_08,aout,pothole,fast-stream,Spring,M,H-1,Pimelodus_maculatus,F0901
Area_08,octobre,montain,sky,Winter,M,K-4,Rhamdia_quelen,F0902
Area_05,juin,valley,lake,Winter,F,M-6,Astyanax_fasciatus,F0903
Area_05,octobre,pothole,estuary,Winter,F,J-3,Leporinus_friderici,F0904
Area_08,decembre,valley,estuary,Autumn,F,L-5,Cichla_ocellaris,F0905
Area_06,septembre,pothole,slow-stream,Summer,M,N-7,Pimelodus_maculatus,F0906
Area_04,septembre,plains,estuary,Spring,M,L-5,Pimelodus_maculatus,F0907
Area_03,avril,pothole,sky,Spring,F,J-3,Geophagus_brasiliensis,F0908
Area_03,septembre,montain,sky,Summer,M,J-3,Prochilodus_lineatus,F0909
Area_02,septembre,valley,slow-stream,Autumn,M,I-2,Geophagus_brasiliensis,F0910
Area_08,mai,plains,slow-stream,Summer,M,L-5,Leporinus_friderici,F0911
Area_05,janvier,pothole,slow-stream,Autumn,M,N-7,Pimelodus_maculatus,F0912
Area_07,fevrier,plains,slow-stream,Winter,M,H-1,Rhamdia_quelen,F0913
Area_05,mars,valley,estuary,Winter,M,N-7,Hoplias_malabaricus,F0914
Area_08,mai,montain,fast-stream,Spring,F,L-5,Leporinus_friderici,F0915
Area_08,aout,plains,slow-stream,Summer,F,L-5,Pimelodus_maculatus,F0916
Area_01,novembre,plains,marine,Spring,M,M-6,Hoplias_malabaricus,F0917
Area_03,janvier,montain,fast-stream,Summer,F,H-1,Hoplias_malabaricus,F0918
Area_02,juillet,valley,estuary,Summer,M,M-6,Pimelodus_maculatus,F0919
Area_07,octobre,valley,fast-stream,Summer,M,I-2,Prochilodus_lineatus,F0920
Area_03,mai,pothole,lake,Autumn,M,J-3,Cichla_ocellaris,F0921
Area_04,juillet,pothole,sky,Winter,M,I-2,Leporinus_friderici,F0922
Area_07,novembre,montain,river,Summer,M,N-7,Cichla_ocellaris,F0923
Area_02,septembre,valley,lake,Spring,M,J-3,Prochilodus_lineatus,F0924
Area_05,octobre,pothole,lake,Spring,F,M-6,Prochilodus_lineatus,F0925
Area_03,fevrier,montain,river,Autumn,F,N-7,Astyanax_fasciatus,F0926
Area_08,decembre,valley,lake,Autumn,F,M-6,Hoplias_malabaricus,F0927
Area_08,juin,valley,sky,Autumn,F,J-3,Cichla_ocellaris,F0928
Area_03,decembre,valley,river,Spring,M,L-5,Prochilodus_lineatus,F0929
Area_02,mars,plains,river,Summer,F,J-3,Rhamdia_quelen,F0930
Area_02,decembre,pothole,estuary,Summer,M,K-4,Leporinus_friderici,F0931
Area_08,mars,pothole,marine,Summer,F,N-7,Cichla_ocellaris,F0932
Area_08,aout,plains,river,Winter,F,H-1,Geophagus_brasiliensis,F0933
Area_04,juillet,pothole,river,Spring,F,N-7,Hoplias_malabaricus,F0934
Area_02,decembre,montain,slow-stream,Winter,F,M-6,Hoplias_malabaricus,F0935
Area_08,fevrier,valley,river,Autumn,F,N-7,Rhamdia_quelen,F0936
Area_07,mai,plains,slow-stream,Summer,M,J-3,Geophagus_brasiliensis,F0937
Area_07,juin,valley,marine,Spring,M,M-6,Geophagus_brasiliensis,F0938
Area_06,mars,valley,river,Winter,M,K-4,Cichla_ocellaris,F0939
Area_01,novembre,pothole,fast-stream,Autumn,M,M-6,Prochilodus_lineatus,F0940
Area_04,decembre,valley,marine,Summer,F,N-7,Astyanax_fasciatus,F0941
Area_08,novembre,pothole,sky,Autumn,M,K-4,Hoplias_malabaricus,F0942
Area_01,janvier,valley,lake,Winter,F,K-4,Pimelodus_maculatus,F0943
Area_05,novembre,pothole,marine,Winter,M,I-2,Pimelodus_maculatus,F0944
Area_02,septembre,plains,marine,Autumn,F,L-5,Rhamdia_quelen,F0945
Area_05,aout,plains,lake,Winter,F,N-7,Rhamdia_quelen,F0946
Area_02,septembre,plains,slow-stream,Spring,M,L-5,Cichla_ocellaris,F0947
Area_02,janvier,montain,fast-stream,Winter,M,J-3,Rhamdia_quelen,F0948
Area_07,decembre,plains,lake,Autumn,F,M-6,Hoplias_malabaricus,F0949
Area_07,aout,pothole,sky,Summer,M,K-4,Astyanax_fasciatus,F0950
Area_07,aout,pothole,sky,Spring,M,I-2,Leporinus_friderici,F0951
Area_08,novembre,montain,estuary,Winter,M,L-5,Rhamdia_quelen,F0952
Area_03,decembre,plains,slow-stream,Winter,F,K-4,Pimelodus_maculatus,F0953
Area_02,aout,valley,sky,Spring,F,K-4,Leporinus_friderici,F0954
Area_06,octobre,plains,river,Autumn,M,K-4,Geophagus_brasiliensis,F0955
Area_06,octobre,montain,lake,Summer,F,L-5,Pimelodus_maculatus,F0956
Area_03,aout,montain,estuary,Winter,F,L-5,Hoplias_malabaricus,F0957
Area_07,aout,valley,fast-stream,Autumn,M,K-4,Astyanax_fasciatus,F0958
Area_03,decembre,montain,sky,Spring,F,N-7,Cichla_ocellaris,F0959
Area_01,aout,montain,lake,Summer,F,K-4,Geophagus_brasiliensis,F0960
Area_07,fevrier,pothole,fast-stream,Summer,F,M-6,Geophagus_brasiliensis,F0961
Area_01,fevrier,plains,slow-stream,Summer,F,M-6,Leporinus_friderici,F0962
Area_07,novembre,valley,fast-stream,Summer,F,J-3,Cichla_ocellaris,F0963
Area_06,fevrier,valley,slow-stream,Autumn,F,L-5,Leporinus_friderici,F0964
Area_08,decembre,valley,estuary,Summer,F,J-3,Leporinus_friderici,F0965
Area_08,mars,montain,fast-stream,Summer,M,J-3,Cichla_ocellaris,F0966
Area_05,fevrier,plains,fast-stream,Winter,F,H-1,Pimelodus_maculatus,F0967
Area_01,septembre,pothole,slow-stream,Winter,M,H-1,Geophagus_brasiliensis,F0968
Area_05,septembre,plains,fast-stream,Winter,F,N-7,Astyanax_fasciatus,F0969
Area_07,juillet,montain,fast-stream,Summer,M,N-7,Pimelodus_maculatus,F0970
Area_08,mai,plains,fast-stream,Winter,M,H-1,Cichla_ocellaris,F0971
Area_01,octobre,pothole,river,Spring,F,L-5,Rhamdia_quelen,F0972
Area_02,juin,montain,river,Summer,F,M-6,Cichla_ocellaris,F0973
Area_08,fevrier,pothole,estuary,Spring,F,H-1,Rhamdia_quelen,F0974
Area_01,janvier,valley,slow-stream,Winter,M,J-3,Cichla_ocellaris,F0975
Area_03,novembre,valley,fast-stream,Winter,F,J-3,Pimelodus_maculatus,F0976
Area_08,decembre,montain,lake,Autumn,F,I-2,Leporinus_friderici,F0977
Area_03,fevrier,valley,sky,Spring,M,H-1,Prochilodus_lineatus,F0978
Area_04,fevrier,valley,fast-stream,Winter,F,M-6,Leporinus_friderici,F0979
Area_07,octobre,plains,slow-stream,Spring,F,I-2,Rhamdia_quelen,F0980
Area_08,novembre,plains,sky,Summer,F,M-6,Leporinus_friderici,F0981
Area_02,mai,pothole,sky,Summer,M,K-4,Leporinus_friderici,F0982
Area_04,aout,plains,lake,Summer,M,I-2,Rhamdia_quelen,F0983
Area_03,novembre,montain,fast-stream,Summer,M,N-7,Geophagus_brasiliensis,F0984
Area_06,mars,plains,sky,Summer,M,L-5,Geophagus_brasiliensis,F0985
Area_01,fevrier,plains,lake,Winter,F,I-2,Rhamdia_quelen,F0986
Area_03,novembre,pothole,estuary,Autumn,F,L-5,Prochilodus_lineatus,F0987
Area_04,aout,pothole,fast-stream,Winter,F,M-6,Geophagus_brasiliensis,F0988
Area_02,novembre,plains,fast-stream,Winter,F,J-3,Geophagus_brasiliensis,F0989
Area_06,septembre,valley,fast-stream,Autumn,M,L-5,Geophagus_brasiliensis,F0990
Area_05,septembre,pothole,sky,Autumn,F,J-3,Rhamdia_quelen,F0991
Area_02,juillet,montain,fast-stream,Summer,M,K-4,Prochilodus_lineatus,F0992
Area_01,novembre,valley,fast-stream,Spring,M,J-3,Cichla_ocellaris,F0993
Area_02,fevrier,plains,marine,Spring,M,I-2,Astyanax_fasciatus,F0994
Area_03,decembre,plains,marine,Spring,F,J-3,Rhamdia_quelen,F0995
Area_03,mai,plains,lake,Winter,F,J-3,Leporinus_friderici,F0996
Area_02,septembre,plains,marine,Summer,F,M-6,Prochilodus_lineatus,F0997
Area_02,mars,plains,fast-stream,Autumn,F,J-3,Leporinus_friderici,F0998
Area_08,octobre,pothole,marine,Summer,M,H-1,Hoplias_malabaricus,F0999
Area_04,septembre,pothole,river,Summer,M,L-5,Prochilodus_lineatus,F1000
Area_05,mai,pothole,sky,Summer,M,N-7,Geophagus_brasiliensis,F1001
Area_08,aout,montain,lake,Summer,F,J-3,Pimelodus_maculatus,F1002
Area_02,decembre,valley,marine,Summer,F,N-7,Leporinus_friderici,F1003
Area_03,fevrier,montain,sky,Spring,M,H-1,Hoplias_malabaricus,F1004
